Player,Age,Position,Nation,Team,Value
Nemanja Matic,35,Defensive Midfield,Serbia,Lyon,3.21
Paul Akouokou,26,Defensive Midfield,Cote d'Ivoire,Lyon,1.6
Maxence Caqueret,24,Central Midfield,France,Lyon,21.4
Orel Mangala,26,Central Midfield,Belgium,Lyon,21.4
Corentin Tolisso,29,Central Midfield,France,Lyon,5.35
Mahamadou Diawara,19,Central Midfield,France,Lyon,3.21
Mohamed El Arouch,20,Central Midfield,France,Lyon,1.6
Ainsley Maitland-Niles,26,Right Midfield,England,Lyon,9.63
Malick Fofana,19,Left Midfield,Belgium,Lyon,16.05
Rayan Cherki,20,Attacking Midfield,France,Lyon,26.75
Saïd Benrahma,28,Left Winger,Algeria,Lyon,21.4
Ernest Nuamah,20,Right Winger,Ghana,Lyon,19.26
Gift Orban,21,Centre-Forward,Nigeria,Lyon,16.05
Alexandre Lacazette,33,Centre-Forward,France,Lyon,9.63
Mama Baldé,28,Centre-Forward,Guinea-Bissau,Lyon,4.28
Pau López,29,Goalkeeper,Spain,Marseille,10.7
Rubén Blanco,28,Goalkeeper,Spain,Marseille,2.14
Simon Ngapandouetnbu,21,Goalkeeper,Cameroon,Marseille,0.32
Leonardo Balerdi,25,Centre-Back,Argentina,Marseille,21.4
Chancel Mbemba,29,Centre-Back,DR Congo,Marseille,16.05
Samuel Gigot,30,Centre-Back,France,Marseille,9.63
Bamo Meïté,22,Centre-Back,Cote d'Ivoire,Marseille,6.42
Quentin Merlin,22,Left-Back,France,Marseille,10.7
Ulisses Garcia,28,Left-Back,Switzerland,Marseille,4.28
Jonathan Clauss,31,Right-Back,France,Marseille,12.84
Amir Murillo,28,Right-Back,Panama,Marseille,4.28
Geoffrey Kondogbia,31,Defensive Midfield,Central African Republic,Marseille,12.84
Pape Gueye,25,Defensive Midfield,Senegal,Marseille,6.42
Jean Onana,24,Defensive Midfield,Cameroon,Marseille,4.28
Jordan Veretout,31,Central Midfield,France,Marseille,16.05
Azzedine Ounahi,24,Central Midfield,Morocco,Marseille,12.84
Valentin Rongier,29,Central Midfield,France,Marseille,12.84
Bilal Nadir,20,Central Midfield,Morocco,Marseille,0.54
Emran Soglo,18,Left Midfield,England,Marseille,1.07
Amine Harit,27,Attacking Midfield,Morocco,Marseille,16.05
Luis Henrique,22,Left Winger,Brazil,Marseille,8.56
Ismaïla Sarr,26,Right Winger,Senegal,Marseille,19.26
Joaquín Correa,29,Second Striker,Argentina,Marseille,6.42
Iliman Ndiaye,24,Centre-Forward,Senegal,Marseille,16.05
Faris Moumbagna,23,Centre-Forward,Cameroon,Marseille,10.7
Pierre-Emerick Aubameyang,35,Centre-Forward,Gabon,Marseille,5.35
Brice Samba,30,Goalkeeper,France,RC Lens,16.05
Jean-Louis Leca,38,Goalkeeper,France,RC Lens,0.21
Yannick Pandor,23,Goalkeeper,Comoros,RC Lens,0.11
Kevin Danso,25,Centre-Back,Austria,RC Lens,26.75
Facundo Medina,25,Centre-Back,Argentina,RC Lens,26.75
Jonathan Gradit,31,Centre-Back,France,RC Lens,4.82
Abdukodir Khusanov,20,Centre-Back,Uzbekistan,RC Lens,2.67
Deiver Machado,30,Left-Back,Colombia,RC Lens,4.28
Jhoanner Chávez,22,Left-Back,Ecuador,RC Lens,2.14
Massadio Haidara,31,Left-Back,Mali,RC Lens,2.14
Ruben Aguilar,31,Right-Back,France,RC Lens,5.35
Salis Abdul Samed,24,Defensive Midfield,Ghana,RC Lens,8.56
Nampalys Mendy,32,Defensive Midfield,Senegal,RC Lens,3.21
Andy Diouf,21,Central Midfield,France,RC Lens,9.63
Neil El Aynaoui,22,Central Midfield,Morocco,RC Lens,8.56
Przemyslaw Frankowski,29,Right Midfield,Poland,RC Lens,9.63
Jimmy Cabot,30,Right Midfield,France,RC Lens,2.67
David Pereira da Costa,23,Attacking Midfield,Portugal,RC Lens,8.56
Angelo Fulgini,27,Attacking Midfield,France,RC Lens,7.49
Adrien Thomasson,30,Attacking Midfield,France,RC Lens,5.35
Ayanda Sishuba,19,Attacking Midfield,Belgium,RC Lens,0.54
Nolan Bonte,20,Attacking Midfield,France,RC Lens,0.05
Morgan Guilavogui,26,Right Winger,Guinea,RC Lens,3.21
Elye Wahi,21,Centre-Forward,France,RC Lens,37.45
Wesley Saïd,29,Centre-Forward,France,RC Lens,4.28
Florian Sotoca,33,Centre-Forward,France,RC Lens,3.21
Ibrahima Baldé,21,Centre-Forward,France,RC Lens,0.32
Alaa Bellaarouch,22,Goalkeeper,Morocco,RC Strasbourg Alsace,2.14
Matthieu Dreyer,35,Goalkeeper,France,RC Strasbourg Alsace,0.16
Alexandre Pierre,23,Goalkeeper,Haiti,RC Strasbourg Alsace,0.11
Abakar Sylla,21,Centre-Back,Cote d'Ivoire,RC Strasbourg Alsace,12.84
Ismaël Doukouré,20,Centre-Back,France,RC Strasbourg Alsace,10.7
Lucas Perrin,25,Centre-Back,France,RC Strasbourg Alsace,3.21
Saïdou Sow,21,Centre-Back,Guinea,RC Strasbourg Alsace,2.67
Steven Baseya,19,Centre-Back,France,RC Strasbourg Alsace,0.05
Thomas Delaine,32,Left-Back,France,RC Strasbourg Alsace,1.07
Frédéric Guilbert,29,Right-Back,France,RC Strasbourg Alsace,4.28
Marvin Senaya,23,Right-Back,France,RC Strasbourg Alsace,2.14
Karol Fila,26,Right-Back,Poland,RC Strasbourg Alsace,0.75
Junior Mwanga,21,Defensive Midfield,France,RC Strasbourg Alsace,7.49
Ibrahima Sissoko,26,Defensive Midfield,Mali,RC Strasbourg Alsace,6.42
Jean-Eudes Aholou,30,Defensive Midfield,Cote d'Ivoire,RC Strasbourg Alsace,0.86
Andrey Santos,20,Central Midfield,Brazil,RC Strasbourg Alsace,16.05
Jessy Deminguet,26,Central Midfield,France,RC Strasbourg Alsace,1.28
Habib Diarra,20,Attacking Midfield,Senegal,RC Strasbourg Alsace,19.26
Dilane Bakwa,21,Left Winger,France,RC Strasbourg Alsace,10.7
Ângelo,19,Right Winger,Brazil,RC Strasbourg Alsace,16.05
Emanuel Emegha,21,Centre-Forward,Netherlands,RC Strasbourg Alsace,12.84
Moïse Sahi Dion,22,Centre-Forward,Cote d'Ivoire,RC Strasbourg Alsace,2.14
Lebo Mothiba,28,Centre-Forward,South Africa,RC Strasbourg Alsace,1.6
Kévin Gameiro,37,Centre-Forward,France,RC Strasbourg Alsace,0.75
Guillaume Restes,19,Goalkeeper,France,FC Toulouse,19.26
Álex Domínguez,25,Goalkeeper,Spain,FC Toulouse,0.32
Thomas Himeur,23,Goalkeeper,France,FC Toulouse,0.05
Justin Lacombe,21,Goalkeeper,France,FC Toulouse,0.05
Logan Costa,23,Centre-Back,Cape Verde,FC Toulouse,12.84
Christian Mawissa,19,Centre-Back,France,FC Toulouse,9.63
Rasmus Nicolaisen,27,Centre-Back,Denmark,FC Toulouse,6.42
Moussa Diarra,23,Centre-Back,Mali,FC Toulouse,2.14
Kévin Keben,20,Centre-Back,Cameroon,FC Toulouse,0.54
Gabriel Suazo,26,Left-Back,Chile,FC Toulouse,3.75
Ylies Aradj,19,Left-Back,France,FC Toulouse,0.0
Mikkel Desler,29,Right-Back,Denmark,FC Toulouse,3.21
Warren Kamanzi,23,Right-Back,Norway,FC Toulouse,2.14
Stijn Spierings,28,Defensive Midfield,Netherlands,FC Toulouse,4.82
Vincent Sierro,28,Central Midfield,Switzerland,FC Toulouse,4.28
Cristian Cásseres Jr.,24,Central Midfield,Venezuela,FC Toulouse,4.28
Yann Gboho,23,Attacking Midfield,France,FC Toulouse,4.28
Niklas Schmidt,26,Attacking Midfield,Germany,FC Toulouse,3.21
Denis Genreau,25,Attacking Midfield,Australia,FC Toulouse,1.6
César Gelabert,23,Attacking Midfield,Spain,FC Toulouse,1.6
Naatan Skyttä,22,Attacking Midfield,Finland,FC Toulouse,0.43
Ibrahim Cissoko,21,Left Winger,Netherlands,FC Toulouse,1.6
Zakaria Aboukhlal,24,Right Winger,Morocco,FC Toulouse,10.7
Aron Dønnum,26,Right Winger,Norway,FC Toulouse,3.75
Shavy Babicka,24,Right Winger,Gabon,FC Toulouse,2.14
Thijs Dallinga,23,Centre-Forward,Netherlands,FC Toulouse,19.26
Frank Magri,24,Centre-Forward,Cameroon,FC Toulouse,3.21
Marco Bizot,33,Goalkeeper,Netherlands,Stade Brestois 29,4.28
Grégoire Coudert,25,Goalkeeper,France,Stade Brestois 29,0.43
Yan Marillat,29,Goalkeeper,France,Stade Brestois 29,0.16
Lilian Brassier,24,Centre-Back,France,Stade Brestois 29,12.84
Brendan Chardonnet,29,Centre-Back,France,Stade Brestois 29,8.56
Julien Le Cardinal,26,Centre-Back,France,Stade Brestois 29,1.6
Bradley Locko,22,Left-Back,France,Stade Brestois 29,12.84
Jordan Amavi,30,Left-Back,France,Stade Brestois 29,1.28
Antonin Cartillier,20,Left-Back,France,Stade Brestois 29,0.21
Kenny Lala,32,Right-Back,France,Stade Brestois 29,3.21
Luck Zogbé,19,Right-Back,Cote d'Ivoire,Stade Brestois 29,0.11
Pierre Lees-Melou,31,Defensive Midfield,France,Stade Brestois 29,10.7
Jonas Martin,34,Defensive Midfield,France,Stade Brestois 29,1.07
Mahdi Camara,25,Central Midfield,France,Stade Brestois 29,10.7
Hugo Magnetti,26,Central Midfield,France,Stade Brestois 29,7.49
Axel Camblan,20,Left Midfield,France,Stade Brestois 29,0.54
Kamory Doumbia,21,Attacking Midfield,Mali,Stade Brestois 29,5.35
Jérémy Le Douaron,26,Left Winger,France,Stade Brestois 29,5.35
Billal Brahimi,24,Left Winger,Algeria,Stade Brestois 29,3.21
Mathias Pereira Lage,27,Left Winger,France,Stade Brestois 29,2.67
Adrien Lebeau,24,Left Winger,France,Stade Brestois 29,0.32
Romain Del Castillo,28,Right Winger,France,Stade Brestois 29,10.7
Martín Satriano,23,Centre-Forward,Uruguay,Stade Brestois 29,7.49
Steve Mounié,29,Centre-Forward,Benin,Stade Brestois 29,6.42
Yehvann Diouf,24,Goalkeeper,France,Stade Reims,8.56
Alexandre Olliero,28,Goalkeeper,France,Stade Reims,0.43
Ludovic Butelle,41,Goalkeeper,France,Stade Reims,0.11
Joseph Okumu,27,Centre-Back,Kenya,Stade Reims,9.63
Emmanuel Agbadou,27,Centre-Back,Cote d'Ivoire,Stade Reims,9.63
Yunis Abdelhamid,36,Centre-Back,Morocco,Stade Reims,0.64
Sergio Akieme,26,Left-Back,Spain,Stade Reims,7.49
Thibault De Smet,26,Left-Back,Belgium,Stade Reims,4.28
Thomas Foket,29,Right-Back,Belgium,Stade Reims,6.42
Maxime Busi,24,Right-Back,Belgium,Stade Reims,1.6
Thérence Koudou,19,Right-Back,France,Stade Reims,0.86
Valentin Atangana,18,Defensive Midfield,France,Stade Reims,1.07
Benjamin Stambouli,33,Defensive Midfield,France,Stade Reims,0.75
Marshall Munetsi,28,Central Midfield,Zimbabwe,Stade Reims,10.7
Teddy Teuma,30,Central Midfield,Malta,Stade Reims,7.49
Amir Richardson,22,Central Midfield,Morocco,Stade Reims,6.42
Reda Khadra,22,Attacking Midfield,Germany,Stade Reims,3.21
Amadou Koné,19,Attacking Midfield,Cote d'Ivoire,Stade Reims,0.54
Mohamed Daramy,22,Left Winger,Denmark,Stade Reims,10.7
Keito Nakamura,23,Left Winger,Japan,Stade Reims,9.63
Mamadou Diakhon,18,Left Winger,France,Stade Reims,0.75
Junya Ito,31,Right Winger,Japan,Stade Reims,8.56
Oumar Diakité,20,Centre-Forward,Cote d'Ivoire,Stade Reims,6.42
Adama Bojang,20,Centre-Forward,The Gambia,Stade Reims,0.54
Yvon Mvogo,30,Goalkeeper,Switzerland,FC Lorient,3.21
Alfred Gomis,30,Goalkeeper,Senegal,FC Lorient,1.07
Dominique Youfeigane,24,Goalkeeper,Central African Republic,FC Lorient,0.16
Montassar Talbi,26,Centre-Back,Tunisia,FC Lorient,7.49
Isaak Touré,21,Centre-Back,France,FC Lorient,7.49
Formose Mendy,23,Centre-Back,Senegal,FC Lorient,4.82
Nathaniel Adjei,21,Centre-Back,Ghana,FC Lorient,2.67
Julien Laporte,30,Centre-Back,France,FC Lorient,2.14
Loris Mouyokolo,23,Centre-Back,France,FC Lorient,0.32
Benjamin Mendy,29,Left-Back,France,FC Lorient,2.14
Darlin Yongwa,23,Left-Back,Cameroon,FC Lorient,1.6
Gédéon Kalulu,26,Right-Back,DR Congo,FC Lorient,3.75
Panos Katseris,22,Right-Back,Greece,FC Lorient,2.67
Igor Silva,27,Right-Back,Brazil,FC Lorient,1.07
Laurent Abergel,31,Defensive Midfield,France,FC Lorient,3.21
Tiemoué Bakayoko,29,Defensive Midfield,France,FC Lorient,2.14
Bonke Innocent,28,Defensive Midfield,Nigeria,FC Lorient,1.07
Imrân Louza,25,Central Midfield,Morocco,FC Lorient,7.49
Jean-Victor Makengo,26,Central Midfield,France,FC Lorient,6.42
Ayman Kari,19,Central Midfield,France,FC Lorient,4.28
Théo Le Bris,21,Left Midfield,France,FC Lorient,2.14
Julien Ponceau,23,Attacking Midfield,France,FC Lorient,3.75
Quentin Boisgard,27,Attacking Midfield,France,FC Lorient,0.75
Badredine Bouanani,19,Right Winger,Algeria,FC Lorient,5.35
Eli Junior Kroupi,18,Centre-Forward,France,FC Lorient,16.05
Mohamed Bamba,22,Centre-Forward,Cote d'Ivoire,FC Lorient,6.42
Bamba Dieng,24,Centre-Forward,Senegal,FC Lorient,4.28
Aiyegun Tosin,26,Centre-Forward,Benin,FC Lorient,3.21
Benjamin Lecomte,33,Goalkeeper,France,Montepellier HSC,3.75
Dimitry Bertaud,26,Goalkeeper,DR Congo,Montepellier HSC,1.28
Belmin Dizdarevic,22,Goalkeeper,Bosnia-Herzegovina,Montepellier HSC,0.21
Becir Omeragic,22,Centre-Back,Switzerland,Montepellier HSC,6.42
Kiki Kouyaté,27,Centre-Back,Mali,Montepellier HSC,5.35
Modibo Sagnan,25,Centre-Back,Mali,Montepellier HSC,3.21
Christopher Jullien,31,Centre-Back,France,Montepellier HSC,2.67
Issiaga Sylla,30,Left-Back,Guinea,Montepellier HSC,2.67
Théo Sainte-Luce,25,Left-Back,France,Montepellier HSC,1.07
Lucas Mincarelli,20,Left-Back,France,Montepellier HSC,1.07
Falaye Sacko,29,Right-Back,Mali,Montepellier HSC,4.28
Enzo Tchato,21,Right-Back,Cameroon,Montepellier HSC,2.67
Silvan Hefti,26,Right-Back,Switzerland,Montepellier HSC,2.67
Joris Chotard,22,Defensive Midfield,France,Montepellier HSC,10.7
Khalil Fayad,20,Central Midfield,Morocco,Montepellier HSC,5.35
Jordan Ferri,32,Central Midfield,France,Montepellier HSC,4.82
Léo Leroy,24,Central Midfield,France,Montepellier HSC,1.07
Téji Savanier,32,Attacking Midfield,France,Montepellier HSC,9.63
Sacha Delaye,22,Attacking Midfield,France,Montepellier HSC,0.32
Yann Karamoh,25,Left Winger,France,Montepellier HSC,2.67
Wahbi Khazri,33,Left Winger,Tunisia,Montepellier HSC,1.93
Arnaud Nordin,26,Right Winger,France,Montepellier HSC,8.56
Mousa Tamari,27,Right Winger,Jordan,Montepellier HSC,8.56
Tanguy Coulibaly,23,Right Winger,France,Montepellier HSC,2.14
Akor Adams,24,Centre-Forward,Nigeria,Montepellier HSC,10.7
Alban Lafont,25,Goalkeeper,France,FC Nantes,9.63
Rémy Descamps,28,Goalkeeper,France,FC Nantes,1.6
Denis Petric,36,Goalkeeper,Slovenia,FC Nantes,0.11
Nathan Zeze,19,Centre-Back,France,FC Nantes,5.35
Eray Cömert,26,Centre-Back,Switzerland,FC Nantes,4.28
Jean-Kévin Duverne,26,Centre-Back,Haiti,FC Nantes,3.75
Jean-Charles Castelletto,29,Centre-Back,Cameroon,FC Nantes,3.75
Bastien Meupiyou,18,Centre-Back,France,FC Nantes,0.86
Nicolas Pallois,36,Centre-Back,France,FC Nantes,0.64
Nicolas Cozza,25,Left-Back,France,FC Nantes,3.75
Kelvin Amian,26,Right-Back,France,FC Nantes,2.67
Pedro Chirivella,27,Defensive Midfield,Spain,FC Nantes,7.49
Douglas Augusto,27,Central Midfield,Brazil,FC Nantes,6.42
Samuel Moutoussamy,27,Central Midfield,DR Congo,FC Nantes,3.21
Moussa Sissoko,34,Central Midfield,France,FC Nantes,1.28
Florent Mollet,32,Attacking Midfield,France,FC Nantes,1.93
Moses Simon,28,Left Winger,Nigeria,FC Nantes,12.84
Stredair Appuah,19,Left Winger,France,FC Nantes,0.54
Marcus Coco,28,Right Winger,Guadeloupe,FC Nantes,1.6
Abdoul Kader Bamba,30,Right Winger,France,FC Nantes,0.96
Mostafa Mohamed,26,Centre-Forward,Egypt,FC Nantes,10.7
Matthis Abline,21,Centre-Forward,France,FC Nantes,6.42
Bénie Traoré,21,Centre-Forward,Cote d'Ivoire,FC Nantes,4.28
Ignatius Ganago,25,Centre-Forward,Cameroon,FC Nantes,3.21
Tino Kadewere,28,Centre-Forward,Zimbabwe,FC Nantes,2.67
Arthur Desmas,30,Goalkeeper,France,Le Havre AC,2.67
Mathieu Gorgelin,33,Goalkeeper,France,Le Havre AC,0.21
Arouna Sangante,22,Centre-Back,Senegal,Le Havre AC,10.7
Étienne Youté Kinkoué,22,Centre-Back,France,Le Havre AC,7.49
Gautier Lloris,28,Centre-Back,France,Le Havre AC,3.21
Yoann Salmier,31,Centre-Back,French Guiana,Le Havre AC,1.6
Christopher Operi,27,Left-Back,Cote d'Ivoire,Le Havre AC,4.28
Cheick Doumbia,19,Left-Back,France,Le Havre AC,0.05
Loïc Nego,33,Right-Back,Hungary,Le Havre AC,0.96
Oualid El Hajjam,33,Right-Back,Morocco,Le Havre AC,0.86
Abdoulaye Touré,30,Defensive Midfield,Guinea,Le Havre AC,3.21
Aloïs Confais,27,Defensive Midfield,France,Le Havre AC,0.27
Daler Kuzyaev,31,Central Midfield,Russia,Le Havre AC,8.56
Yassine Kechta,22,Central Midfield,Morocco,Le Havre AC,5.35
Oussama Targhalline,22,Central Midfield,Morocco,Le Havre AC,2.67
Rassoul Ndiaye,22,Central Midfield,Senegal,Le Havre AC,2.67
Antoine Joujou,21,Left Winger,France,Le Havre AC,1.6
André Ayew,34,Left Winger,Ghana,Le Havre AC,1.07
Josué Casimir,22,Right Winger,Guadeloupe,Le Havre AC,3.21
Emmanuel Sabbi,26,Right Winger,United States,Le Havre AC,2.67
Samuel Grandsir,27,Right Winger,France,Le Havre AC,1.6
Mohamed Bayo,26,Centre-Forward,Guinea,Le Havre AC,5.35
Andy Logbo,20,Centre-Forward,France,Le Havre AC,0.86
Steve Ngoura,19,Centre-Forward,France,Le Havre AC,0.43
Guillaume Dietsch,23,Goalkeeper,France,FC Metz,0.64
Alexandre Oukidja,35,Goalkeeper,Algeria,FC Metz,0.54
Marc-Aurèle Caillard,30,Goalkeeper,France,FC Metz,0.21
Fali Candé,26,Centre-Back,Guinea-Bissau,FC Metz,2.67
Christophe Hérelle,31,Centre-Back,Martinique,FC Metz,1.6
Sadibou Sané,20,Centre-Back,Senegal,FC Metz,0.86
Aboubacar Lô,24,Centre-Back,Senegal,FC Metz,0.32
Ismaël Traoré,37,Centre-Back,Cote d'Ivoire,FC Metz,0.27
Matthieu Udol,28,Left-Back,France,FC Metz,2.67
Kevin Van Den Kerkhof,28,Right-Back,Algeria,FC Metz,3.21
Koffi Kouao,26,Right-Back,Cote d'Ivoire,FC Metz,1.6
Maxime Colin,32,Right-Back,France,FC Metz,0.96
Danley Jean Jacques,24,Defensive Midfield,Haiti,FC Metz,2.14
Kévin N'Doram,28,Defensive Midfield,France,FC Metz,1.6
Arthur Atta,21,Defensive Midfield,France,FC Metz,1.07
Warren Tchimbembé,26,Defensive Midfield,Congo,FC Metz,0.32
Lamine Camara,20,Central Midfield,Senegal,FC Metz,10.7
Joseph Nduquidi,19,Central Midfield,Angola,FC Metz,0.86
Cheikh Sabaly,25,Left Winger,Senegal,FC Metz,2.14
Papa Amadou Diallo,20,Left Winger,Senegal,FC Metz,1.07
Didier Lamkel Zé,27,Left Winger,Cameroon,FC Metz,1.07
Maïdine Douane,21,Left Winger,Algeria,FC Metz,0.21
Ablie Jallow,25,Right Winger,The Gambia,FC Metz,2.14
Joel Asoro,25,Right Winger,Sweden,FC Metz,1.6
Malick Mbaye,20,Right Winger,Senegal,FC Metz,0.54
Georges Mikautadze,23,Centre-Forward,Georgia,FC Metz,16.05
Benjamin Tetteh,26,Centre-Forward,Ghana,FC Metz,1.07
Ibou Sané,19,Centre-Forward,Senegal,FC Metz,0.32
Mory Diaw,31,Goalkeeper,Senegal,Clermont Foot 63,1.93
Massamba N'Diaye,22,Goalkeeper,Senegal,Clermont Foot 63,0.54
Théo Borne,21,Goalkeeper,France,Clermont Foot 63,0.05
Chrislain Matsima,22,Centre-Back,France,Clermont Foot 63,7.49
Andy Pelmard,24,Centre-Back,France,Clermont Foot 63,3.75
Maximiliano Caufriez,27,Centre-Back,Belgium,Clermont Foot 63,2.67
Jérémy Jacquet,18,Centre-Back,France,Clermont Foot 63,0.54
Florent Ogier,35,Centre-Back,France,Clermont Foot 63,0.32
Neto Borges,27,Left-Back,Brazil,Clermont Foot 63,3.21
Yoël Armougom,26,Left-Back,France,Clermont Foot 63,0.32
Cheick Oumar Konaté,20,Right-Back,Mali,Clermont Foot 63,1.6
Mehdi Zeffane,32,Right-Back,Algeria,Clermont Foot 63,0.54
Yohann Magnin,27,Defensive Midfield,France,Clermont Foot 63,2.14
Maxime Gonalons,35,Defensive Midfield,France,Clermont Foot 63,0.75
Johan Gastien,36,Defensive Midfield,France,Clermont Foot 63,0.54
Habib Keïta,22,Central Midfield,Mali,Clermont Foot 63,1.07
Muhammed Cham,23,Attacking Midfield,Austria,Clermont Foot 63,6.42
Alan Virginius,21,Left Winger,France,Clermont Foot 63,3.75
Elbasan Rashani,31,Left Winger,Kosovo,Clermont Foot 63,1.6
Jérémie Bela,31,Left Winger,Angola,Clermont Foot 63,0.64
Jim Allevinah,29,Right Winger,Gabon,Clermont Foot 63,2.14
Bilal Boutobba,25,Right Winger,France,Clermont Foot 63,1.93
Shamar Nicholson,27,Centre-Forward,Jamaica,Clermont Foot 63,5.35
Grejohn Kyei,28,Centre-Forward,France,Clermont Foot 63,1.6
Komnen Andric,28,Centre-Forward,Serbia,Clermont Foot 63,1.07
Yann Sommer,35,Goalkeeper,Switzerland,Inter Milan,5.35
Emil Audero,27,Goalkeeper,Italy,Inter Milan,5.35
Raffaele Di Gennaro,30,Goalkeeper,Italy,Inter Milan,0.32
Alessandro Bastoni,25,Centre-Back,Italy,Inter Milan,74.9
Benjamin Pavard,28,Centre-Back,France,Inter Milan,53.5
Yann Bisseck,23,Centre-Back,Germany,Inter Milan,17.12
Stefan de Vrij,32,Centre-Back,Netherlands,Inter Milan,7.49
Francesco Acerbi,36,Centre-Back,Italy,Inter Milan,3.75
Federico Dimarco,26,Left-Back,Italy,Inter Milan,53.5
Matteo Darmian,34,Right-Back,Italy,Inter Milan,4.28
Hakan Çalhanoğlu,30,Defensive Midfield,Türkiye,Inter Milan,48.15
Kristjan Asllani,22,Defensive Midfield,Albania,Inter Milan,19.26
Nicolò Barella,27,Central Midfield,Italy,Inter Milan,85.6
Davide Frattesi,24,Central Midfield,Italy,Inter Milan,37.45
Henrikh Mkhitaryan,35,Central Midfield,Armenia,Inter Milan,6.42
Davy Klaassen,31,Central Midfield,Netherlands,Inter Milan,4.28
Stefano Sensi,28,Central Midfield,Italy,Inter Milan,3.21
Denzel Dumfries,28,Right Midfield,Netherlands,Inter Milan,25.68
Tajon Buchanan,25,Right Midfield,Canada,Inter Milan,8.56
Juan Cuadrado,36,Right Midfield,Colombia,Inter Milan,1.07
Carlos Augusto,25,Left Midfield,Brazil,Inter Milan,23.54
Lautaro Martínez,26,Centre-Forward,Argentina,Inter Milan,117.7
Marcus Thuram,26,Centre-Forward,France,Inter Milan,69.55
Marko Arnautovic,35,Centre-Forward,Austria,Inter Milan,4.28
Alexis Sánchez,35,Centre-Forward,Chile,Inter Milan,2.67
Mike Maignan,28,Goalkeeper,France,AC Milan,40.66
Marco Sportiello,32,Goalkeeper,Italy,AC Milan,1.6
Lapo Nava,20,Goalkeeper,Italy,AC Milan,0.16
Antonio Mirante,40,Goalkeeper,Italy,AC Milan,0.11
Fikayo Tomori,26,Centre-Back,England,AC Milan,42.8
Malick Thiaw,22,Centre-Back,Germany,AC Milan,26.75
Pierre Kalulu,24,Centre-Back,France,AC Milan,21.4
Matteo Gabbia,24,Centre-Back,Italy,AC Milan,8.56
Simon Kjær,35,Centre-Back,Denmark,AC Milan,1.6
Mattia Caldara,30,Centre-Back,Italy,AC Milan,0.86
Theo Hernández,26,Left-Back,France,AC Milan,64.2
Davide Calabria,27,Right-Back,Italy,AC Milan,13.91
Filippo Terracciano,21,Right-Back,Italy,AC Milan,4.82
Alessandro Florenzi,33,Right-Back,Italy,AC Milan,2.14
Ismaël Bennacer,26,Defensive Midfield,Algeria,AC Milan,32.1
Yacine Adli,23,Defensive Midfield,France,AC Milan,16.05
Tijjani Reijnders,25,Central Midfield,Netherlands,AC Milan,32.1
Ruben Loftus-Cheek,28,Central Midfield,England,AC Milan,26.75
Yunus Musah,21,Central Midfield,United States,AC Milan,23.54
Tommaso Pobega,24,Central Midfield,Italy,AC Milan,10.7
Rafael Leão,25,Left Winger,Portugal,AC Milan,96.3
Noah Okafor,24,Left Winger,Switzerland,AC Milan,21.4
Christian Pulisic,25,Right Winger,United States,AC Milan,42.8
Samuel Chukwueze,25,Right Winger,Nigeria,AC Milan,21.4
Luka Jović,26,Centre-Forward,Serbia,AC Milan,7.49
Olivier Giroud,37,Centre-Forward,France,AC Milan,3.21
Alex Meret,27,Goalkeeper,Italy,Napoli,12.84
Pierluigi Gollini,29,Goalkeeper,Italy,Napoli,4.28
Nikita Contini,28,Goalkeeper,Italy,Napoli,0.43
Hubert Idasiak,22,Goalkeeper,Poland,Napoli,0.16
Amir Rrahmani,30,Centre-Back,Kosovo,Napoli,16.05
Natan,23,Centre-Back,Brazil,Napoli,12.84
Leo Østigård,24,Centre-Back,Norway,Napoli,8.56
Juan Jesus,33,Centre-Back,Brazil,Napoli,2.67
Mathías Olivera,26,Left-Back,Uruguay,Napoli,16.05
Mário Rui,33,Left-Back,Portugal,Napoli,3.75
Giovanni Di Lorenzo,30,Right-Back,Italy,Napoli,16.05
Pasquale Mazzocchi,28,Right-Back,Italy,Napoli,3.21
Stanislav Lobotka,29,Defensive Midfield,Slovakia,Napoli,29.96
Leander Dendoncker,29,Defensive Midfield,Belgium,Napoli,7.49
Diego Demme,32,Defensive Midfield,Germany,Napoli,0.86
Frank Anguissa,28,Central Midfield,Cameroon,Napoli,28.89
Piotr Zieliński,30,Central Midfield,Poland,Napoli,23.54
Jens Cajuste,24,Central Midfield,Sweden,Napoli,10.7
Jesper Lindstrøm,24,Attacking Midfield,Denmark,Napoli,23.54
Hamed Junior Traorè,24,Attacking Midfield,Cote d'Ivoire,Napoli,18.19
Khvicha Kvaratskhelia,23,Left Winger,Georgia,Napoli,85.6
Matteo Politano,30,Right Winger,Italy,Napoli,13.91
Cyril Ngonge,24,Right Winger,Belgium,Napoli,12.84
Giacomo Raspadori,24,Second Striker,Italy,Napoli,26.75
Victor Osimhen,25,Centre-Forward,Nigeria,Napoli,107.0
Giovanni Simeone,28,Centre-Forward,Argentina,Napoli,10.7
Wojciech Szczęsny,34,Goalkeeper,Poland,Juventus FC,6.42
Mattia Perin,31,Goalkeeper,Italy,Juventus FC,3.21
Carlo Pinsoglio,34,Goalkeeper,Italy,Juventus FC,0.21
Bremer,27,Centre-Back,Brazil,Juventus FC,64.2
Federico Gatti,26,Centre-Back,Italy,Juventus FC,19.26
Tiago Djaló,24,Centre-Back,Portugal,Juventus FC,12.84
